Day,Subject,Session,Time,Response,Reward,Trial
5,2,weathertaskL,7949,1,0,64
5,2,weathertaskL,8164,1,1,65
5,2,weathertaskL,8176,1,0,66
5,2,weathertaskL,8214,1,1,67
5,2,weathertaskL,8221,1,1,68
5,2,weathertaskL,8264,1,1,69
5,2,weathertaskL,8302,1,1,70
5,2,weathertaskL,8312,1,1,71
5,2,weathertaskL,8502,1,1,72
5,2,weathertaskL,8742,0,0,73
5,2,weathertaskL,8970,1,1,74
5,2,weathertaskL,9138,-1,0,75
5,2,weathertaskL,9353,1,1,76
5,2,weathertaskL,9394,1,1,77
5,2,weathertaskL,9429,1,1,78
5,2,weathertaskL,9441,1,1,79
5,2,weathertaskL,9484,1,1,80
5,2,weathertaskL,9517,1,1,81
5,2,weathertaskL,9530,1,1,82
5,2,weathertaskL,9560,1,1,83
5,2,weathertaskL,9607,1,1,84
5,2,weathertaskL,9633,1,1,85
5,2,weathertaskL,9752,1,1,86
5,2,weathertaskL,9765,1,1,87
5,2,weathertaskL,9846,1,1,88
5,2,weathertaskL,9900,1,1,89
5,2,weathertaskL,10140,0,0,90
5,2,weathertaskL,10276,1,1,91
5,2,weathertaskL,10308,1,1,92
5,2,weathertaskL,10548,0,0,93
5,2,weathertaskL,10788,0,0,94
5,2,weathertaskL,11028,0,0,95
5,2,weathertaskL,11268,0,0,96
5,2,weathertaskL,11423,1,1,97
5,2,weathertaskL,11663,0,0,98
5,2,weathertaskL,11903,0,0,99
6,2,weathertaskL,120,0,0,0
6,2,weathertaskL,247,1,1,1
6,2,weathertaskL,448,1,1,2
6,2,weathertaskL,460,1,1,3
6,2,weathertaskL,591,1,1,4
6,2,weathertaskL,768,1,1,5
6,2,weathertaskL,944,1,1,6
6,2,weathertaskL,1077,-1,1,7
6,2,weathertaskL,1211,1,1,8
6,2,weathertaskL,1271,1,1,9
6,2,weathertaskL,1316,1,1,10
6,2,weathertaskL,1328,1,0,11
6,2,weathertaskL,1370,1,0,12
6,2,weathertaskL,1382,1,1,13
6,2,weathertaskL,1430,1,1,14
6,2,weathertaskL,1441,1,1,15
6,2,weathertaskL,1524,1,0,16
6,2,weathertaskL,1577,1,1,17
6,2,weathertaskL,1620,-1,0,18
6,2,weathertaskL,1644,1,1,19
6,2,weathertaskL,1696,-1,0,20
6,2,weathertaskL,1893,1,0,21
6,2,weathertaskL,2111,1,1,22
6,2,weathertaskL,2168,1,1,23
6,2,weathertaskL,2408,0,0,24
6,2,weathertaskL,2569,1,0,25
6,2,weathertaskL,2809,0,0,26
6,2,weathertaskL,2945,1,1,27
6,2,weathertaskL,2996,1,0,28
6,2,weathertaskL,3006,1,1,29
6,2,weathertaskL,3045,1,1,30
6,2,weathertaskL,3053,1,1,31
6,2,weathertaskL,3070,1,0,32
6,2,weathertaskL,3124,1,0,33
6,2,weathertaskL,3156,1,1,34
6,2,weathertaskL,3348,1,0,35
6,2,weathertaskL,3575,1,1,36
6,2,weathertaskL,3635,1,0,37
6,2,weathertaskL,3875,0,0,38
6,2,weathertaskL,4053,1,1,39
6,2,weathertaskL,4188,1,1,40
6,2,weathertaskL,4345,-1,1,41
6,2,weathertaskL,4475,1,0,42
6,2,weathertaskL,4664,1,1,43
6,2,weathertaskL,4675,1,0,44
6,2,weathertaskL,4855,1,1,45
6,2,weathertaskL,5095,0,0,46
6,2,weathertaskL,5245,1,1,47
6,2,weathertaskL,5336,1,0,48
6,2,weathertaskL,5360,1,1,49
6,2,weathertaskL,5370,1,1,50
6,2,weathertaskL,5412,1,1,51
6,2,weathertaskL,5512,1,0,52
6,2,weathertaskL,5552,1,0,53
6,2,weathertaskL,5575,1,1,54
6,2,weathertaskL,5585,1,0,55
6,2,weathertaskL,5783,-1,0,56
6,2,weathertaskL,6023,0,0,57
6,2,weathertaskL,6250,1,1,58
6,2,weathertaskL,6395,1,0,59
6,2,weathertaskL,6603,1,0,60
6,2,weathertaskL,6765,1,0,61
6,2,weathertaskL,6913,1,1,62
6,2,weathertaskL,6923,1,1,63
6,2,weathertaskL,6967,1,0,64
6,2,weathertaskL,6989,1,1,65
6,2,weathertaskL,6997,1,0,66
6,2,weathertaskL,7032,1,1,67
6,2,weathertaskL,7089,1,1,68
6,2,weathertaskL,7329,0,0,69
6,2,weathertaskL,7569,0,0,70
6,2,weathertaskL,7714,1,0,71
6,2,weathertaskL,7858,1,0,72
6,2,weathertaskL,7984,1,1,73
6,2,weathertaskL,8119,1,1,74
6,2,weathertaskL,8301,1,0,75
6,2,weathertaskL,8322,1,1,76
6,2,weathertaskL,8334,1,0,77
6,2,weathertaskL,8451,1,0,78
6,2,weathertaskL,8595,1,0,79
6,2,weathertaskL,8727,1,1,80
6,2,weathertaskL,8967,0,0,81
6,2,weathertaskL,9112,-1,0,82
6,2,weathertaskL,9119,-1,1,83
6,2,weathertaskL,9247,-1,0,84
6,2,weathertaskL,9261,-1,1,85
6,2,weathertaskL,9325,-1,0,86
6,2,weathertaskL,9332,-1,0,87
6,2,weathertaskL,9421,1,1,88
6,2,weathertaskL,9661,0,0,89
6,2,weathertaskL,9868,1,1,90
6,2,weathertaskL,10108,0,0,91
6,2,weathertaskL,10290,1,1,92
6,2,weathertaskL,10525,1,1,93
6,2,weathertaskL,10535,1,0,94
6,2,weathertaskL,10560,1,1,95
6,2,weathertaskL,10601,1,1,96
6,2,weathertaskL,10634,1,1,97
6,2,weathertaskL,10874,0,0,98
6,2,weathertaskL,11019,1,1,99
7,2,weathertaskL,25,1,1,0
7,2,weathertaskL,176,1,1,1
7,2,weathertaskL,238,1,1,2
7,2,weathertaskL,276,1,1,3
7,2,weathertaskL,287,1,1,4
7,2,weathertaskL,394,1,1,5
7,2,weathertaskL,405,1,1,6
7,2,weathertaskL,489,1,1,7
7,2,weathertaskL,548,1,1,8
7,2,weathertaskL,592,1,1,9
7,2,weathertaskL,603,1,1,10
7,2,weathertaskL,651,1,0,11
7,2,weathertaskL,705,-1,0,12
7,2,weathertaskL,727,1,0,13
7,2,weathertaskL,762,1,1,14
7,2,weathertaskL,769,1,1,15
7,2,weathertaskL,812,1,1,16
7,2,weathertaskL,954,1,1,17
7,2,weathertaskL,1122,1,1,18
7,2,weathertaskL,1327,1,1,19
7,2,weathertaskL,1481,1,1,20
7,2,weathertaskL,1614,1,1,21
7,2,weathertaskL,1624,1,1,22
7,2,weathertaskL,1675,1,1,23
7,2,weathertaskL,1687,1,1,24
7,2,weathertaskL,1716,1,1,25
7,2,weathertaskL,1725,1,1,26
7,2,weathertaskL,1760,1,1,27
7,2,weathertaskL,1771,1,1,28
7,2,weathertaskL,1827,1,1,29
7,2,weathertaskL,2048,1,1,30
7,2,weathertaskL,2197,1,1,31
7,2,weathertaskL,2378,-1,0,32
7,2,weathertaskL,2535,1,1,33
7,2,weathertaskL,2651,1,1,34
7,2,weathertaskL,2662,1,1,35
7,2,weathertaskL,2717,1,1,36
7,2,weathertaskL,2753,1,1,37
7,2,weathertaskL,2764,1,1,38
7,2,weathertaskL,2795,1,1,39
7,2,weathertaskL,2807,1,1,40
7,2,weathertaskL,2818,1,1,41
7,2,weathertaskL,2857,1,1,42
7,2,weathertaskL,3085,-1,0,43
7,2,weathertaskL,3325,0,0,44
7,2,weathertaskL,3565,0,0,45
7,2,weathertaskL,3695,1,1,46
7,2,weathertaskL,3843,1,1,47
7,2,weathertaskL,4003,1,1,48
